articleLink,phrase
https://www.insurancejournal.com/news/national/2018/10/12/504085.htm,smart speakers
https://www.insurancejournal.com/news/national/2018/10/12/504085.htm,Amazon’s Alexa
https://www.insurancejournal.com/news/national/2018/10/12/504085.htm,apps
https://www.insurancejournal.com/news/national/2018/10/12/504085.htm,fitness categories
https://www.insurancejournal.com/news/national/2018/10/12/504085.htm,app stores
https://www.insurancejournal.com/news/national/2018/10/12/504085.htm,potential
https://beebom.com/amazon-great-indian-festival-best-laptop-deals-october-12/,ongoing Amazon Great Indian Festival
https://beebom.com/amazon-great-indian-festival-best-laptop-deals-october-12/,amazing deals
https://beebom.com/amazon-great-indian-festival-best-laptop-deals-october-12/,laptop
https://beebom.com/amazon-great-indian-festival-best-laptop-deals-october-12/,day
https://beebom.com/amazon-great-indian-festival-best-laptop-deals-october-12/,right time
https://beebom.com/amazon-great-indian-festival-best-laptop-deals-october-12/,UPDATE
https://www.eater.com/2018/10/11/17963532/whole-foods-raises-minimum-wage-15-dollars-amazon,Fight
https://www.eater.com/2018/10/11/17963532/whole-foods-raises-minimum-wage-15-dollars-amazon,minimum wage
https://www.eater.com/2018/10/11/17963532/whole-foods-raises-minimum-wage-15-dollars-amazon,major victory
https://www.eater.com/2018/10/11/17963532/whole-foods-raises-minimum-wage-15-dollars-amazon,labor movement
https://www.eater.com/2018/10/11/17963532/whole-foods-raises-minimum-wage-15-dollars-amazon,pay hike
https://www.eater.com/2018/10/11/17963532/whole-foods-raises-minimum-wage-15-dollars-amazon,Foods employees
https://www.eater.com/2018/10/11/17963532/whole-foods-raises-minimum-wage-15-dollars-amazon,Amazon
https://www.eater.com/2018/10/11/17963532/whole-foods-raises-minimum-wage-15-dollars-amazon,hour
https://www.hardocp.com/news/2018/10/11/amazon_alexa_may_detect_emotional_physical_states_in_future/,person
https://www.hardocp.com/news/2018/10/11/amazon_alexa_may_detect_emotional_physical_states_in_future/,physical states
https://www.hardocp.com/news/2018/10/11/amazon_alexa_may_detect_emotional_physical_states_in_future/,voice assistant Alexa
https://www.hardocp.com/news/2018/10/11/amazon_alexa_may_detect_emotional_physical_states_in_future/,method
https://www.hardocp.com/news/2018/10/11/amazon_alexa_may_detect_emotional_physical_states_in_future/,vocal cues
https://www.hardocp.com/news/2018/10/11/amazon_alexa_may_detect_emotional_physical_states_in_future/,way
https://www.hardocp.com/news/2018/10/11/amazon_alexa_may_detect_emotional_physical_states_in_future/,conversations
https://www.hardocp.com/news/2018/10/11/amazon_alexa_may_detect_emotional_physical_states_in_future/,Amazon
https://www.hardocp.com/news/2018/10/11/amazon_alexa_may_detect_emotional_physical_states_in_future/,example
https://english.manoramaonline.com/business/news/2018/10/12/flipkart-amazon-big-ticket-sale-season.html,Indian online retailer Flipkart
https://english.manoramaonline.com/business/news/2018/10/12/flipkart-amazon-big-ticket-sale-season.html,flagship annual sales
https://english.manoramaonline.com/business/news/2018/10/12/flipkart-amazon-big-ticket-sale-season.html,Bengaluru
https://english.manoramaonline.com/business/news/2018/10/12/flipkart-amazon-big-ticket-sale-season.html,Amazon
https://english.manoramaonline.com/business/news/2018/10/12/flipkart-amazon-big-ticket-sale-season.html,shoppers
https://english.manoramaonline.com/business/news/2018/10/12/flipkart-amazon-big-ticket-sale-season.html,festive season
http://www.ironman.com/triathlon/news/articles/2018/10/kona-womens-pro-preview.aspx,legendary Paula Newby-Fraser
http://www.ironman.com/triathlon/news/articles/2018/10/kona-womens-pro-preview.aspx,countrywoman Natascha Badmann
http://www.ironman.com/triathlon/news/articles/2018/10/kona-womens-pro-preview.aspx,Switzerland’s Daniela Ryf
http://www.ironman.com/triathlon/news/articles/2018/10/kona-womens-pro-preview.aspx,rarefied air
http://www.ironman.com/triathlon/news/articles/2018/10/kona-womens-pro-preview.aspx,women
http://www.ironman.com/triathlon/news/articles/2018/10/kona-womens-pro-preview.aspx,consecutive victory
http://www.ironman.com/triathlon/news/articles/2018/10/kona-womens-pro-preview.aspx,times
http://www.ironman.com/triathlon/news/articles/2018/10/kona-womens-pro-preview.aspx,Kona
http://www.ironman.com/triathlon/news/articles/2018/10/kona-womens-pro-preview.aspx,row
https://www.infoq.com/news/2018/10/amazon-s3-performance-increase,performance increase
https://www.infoq.com/news/2018/10/amazon-s3-performance-increase,increased S3 request rate performance
https://www.infoq.com/news/2018/10/amazon-s3-performance-increase,AWS
https://www.infoq.com/news/2018/10/amazon-s3-performance-increase,ability
